物种序号,spid,中文名,拉丁名,科中文名,科拉丁名,属中文名,属拉丁名,媒体类型,媒体序号,媒体ID,鸣声类型,作者/录制人,地点,日期,时间,备注,原始URL,本地文件,下载状态,文件大小bytes,Content-Type或错误
1,906536,海南拟髭蟾,Leptobrachium hainanense,角蟾科,Megophryidae,拟髭蟾属,Leptobrachium,照片,1,53,,朱弼成 ,海南吊罗山,2015,,,http://www.nsii.org.cn/nsiiresources/media/photo/202016/photo/normal/海南拟髭蟾_朱弼成 (1).jpg,NSII_无尾两栖类鸣声专题/01_海南拟髭蟾_Leptobrachium hainanense/照片/照片_01_ID53_海南拟髭蟾_朱弼成 (1).jpg,exists,2636755,
1,906536,海南拟髭蟾,Leptobrachium hainanense,角蟾科,Megophryidae,拟髭蟾属,Leptobrachium,照片,2,54,,朱弼成 ,海南吊罗山,20150411,,,http://www.nsii.org.cn/nsiiresources/media/photo/202016/photo/normal/海南拟髭蟾_朱弼成 (2).jpg,NSII_无尾两栖类鸣声专题/01_海南拟髭蟾_Leptobrachium hainanense/照片/照片_02_ID54_海南拟髭蟾_朱弼成 (2).jpg,exists,5400571,
1,906536,海南拟髭蟾,Leptobrachium hainanense,角蟾科,Megophryidae,拟髭蟾属,Leptobrachium,鸣声,1,185,广告鸣叫,朱弼成,海南吊罗山,2015.4.3,21:07,,http://www.nsii.org.cn/nsiiresources/media/photo/202016/audio/海南拟髭蟾_1_朱弼成.mp3,NSII_无尾两栖类鸣声专题/01_海南拟髭蟾_Leptobrachium hainanense/鸣声/鸣声_01_ID185_海南拟髭蟾_1_朱弼成.mp3,exists,313633,
2,561259,小角蟾,Megophrys (Panophrys) minor,角蟾科,Megophryidae,角蟾属,Megophrys,照片,1,132,,崔建国 ,四川峨眉山,20110624,,,http://www.nsii.org.cn/nsiiresources/media/photo/202016/photo/normal/小角蟾_崔建国 (1).jpg,NSII_无尾两栖类鸣声专题/02_小角蟾_Megophrys (Panophrys) minor/照片/照片_01_ID132_小角蟾_崔建国 (1).jpg,exists,3428165,
2,561259,小角蟾,Megophrys (Panophrys) minor,角蟾科,Megophryidae,角蟾属,Megophrys,照片,2,133,,崔建国 ,四川峨眉山,20110623,,生境,http://www.nsii.org.cn/nsiiresources/media/photo/202016/photo/normal/小角蟾_崔建国 (2).jpg,NSII_无尾两栖类鸣声专题/02_小角蟾_Megophrys (Panophrys) minor/照片/照片_02_ID133_小角蟾_崔建国 (2).jpg,exists,2199959,
2,561259,小角蟾,Megophrys (Panophrys) minor,角蟾科,Megophryidae,角蟾属,Megophrys,鸣声,1,214,广告鸣叫,孙晓倩,四川峨眉山,2019.6.16,17:01,,http://www.nsii.org.cn/nsiiresources/media/photo/202016/audio/小角蟾_1_孙晓倩.mp3,NSII_无尾两栖类鸣声专题/02_小角蟾_Megophrys (Panophrys) minor/鸣声/鸣声_01_ID214_小角蟾_1_孙晓倩.mp3,exists,522346,
3,796399,峨眉角蟾,Megophrys (Panophrys) omeimontis,角蟾科,Megophryidae,角蟾属,Megophrys,照片,1,32,,杨悦 ,四川峨眉山,20190814,,,http://www.nsii.org.cn/nsiiresources/media/photo/202016/photo/normal/峨眉角蟾_杨悦 (1).jpg,NSII_无尾两栖类鸣声专题/03_峨眉角蟾_Megophrys (Panophrys) omeimontis/照片/照片_01_ID32_峨眉角蟾_杨悦 (1).jpg,exists,2168385,
3,796399,峨眉角蟾,Megophrys (Panophrys) omeimontis,角蟾科,Megophryidae,角蟾属,Megophrys,照片,2,33,,杨悦 ,四川峨眉山,20190814,,,http://www.nsii.org.cn/nsiiresources/media/photo/202016/photo/normal/峨眉角蟾_杨悦 (2).jpg,NSII_无尾两栖类鸣声专题/03_峨眉角蟾_Megophrys (Panophrys) omeimontis/照片/照片_02_ID33_峨眉角蟾_杨悦 (2).jpg,exists,2357967,
3,796399,峨眉角蟾,Megophrys (Panophrys) omeimontis,角蟾科,Megophryidae,角蟾属,Megophrys,照片,3,34,,杨悦 ,四川峨眉山,20190814,,,http://www.nsii.org.cn/nsiiresources/media/photo/202016/photo/normal/峨眉角蟾_杨悦 (3).jpg,NSII_无尾两栖类鸣声专题/03_峨眉角蟾_Megophrys (Panophrys) omeimontis/照片/照片_03_ID34_峨眉角蟾_杨悦 (3).jpg,exists,1685143,
3,796399,峨眉角蟾,Megophrys (Panophrys) omeimontis,角蟾科,Megophryidae,角蟾属,Megophrys,照片,4,35,,杨悦 ,四川峨眉山,20190814,,,http://www.nsii.org.cn/nsiiresources/media/photo/202016/photo/normal/峨眉角蟾_杨悦 (4).jpg,NSII_无尾两栖类鸣声专题/03_峨眉角蟾_Megophrys (Panophrys) omeimontis/照片/照片_04_ID35_峨眉角蟾_杨悦 (4).jpg,exists,1989275,
3,796399,峨眉角蟾,Megophrys (Panophrys) omeimontis,角蟾科,Megophryidae,角蟾属,Megophrys,鸣声,1,175,广告鸣叫,崔建国,四川峨眉山,2014.5.8,4:15,室内录制,http://www.nsii.org.cn/nsiiresources/media/photo/202016/audio/峨眉角蟾_1_崔建国.mp3,NSII_无尾两栖类鸣声专题/03_峨眉角蟾_Megophrys (Panophrys) omeimontis/鸣声/鸣声_01_ID175_峨眉角蟾_1_崔建国.mp3,exists,722082,
4,773534,中华蟾蜍,Bufo gargarizans,蟾蜍科,Bufonidae,蟾蜍属,Bufo,照片,1,156,,杨悦 ,四川峨眉山,20190717,,,http://www.nsii.org.cn/nsiiresources/media/photo/202016/photo/normal/中华蟾蜍_杨悦 (1).jpg,NSII_无尾两栖类鸣声专题/04_中华蟾蜍_Bufo gargarizans/照片/照片_01_ID156_中华蟾蜍_杨悦 (1).jpg,exists,3135143,
4,773534,中华蟾蜍,Bufo gargarizans,蟾蜍科,Bufonidae,蟾蜍属,Bufo,照片,2,157,,杨悦 ,四川峨眉山,20190814,,,http://www.nsii.org.cn/nsiiresources/media/photo/202016/photo/normal/中华蟾蜍_杨悦 (2).jpg,NSII_无尾两栖类鸣声专题/04_中华蟾蜍_Bufo gargarizans/照片/照片_02_ID157_中华蟾蜍_杨悦 (2).jpg,exists,2355122,
4,773534,中华蟾蜍,Bufo gargarizans,蟾蜍科,Bufonidae,蟾蜍属,Bufo,照片,3,158,,蔡炎林 ,四川康定塔公草原,20180507,,,http://www.nsii.org.cn/nsiiresources/media/photo/202016/photo/normal/中华蟾蜍_蔡炎林 (1).jpg,NSII_无尾两栖类鸣声专题/04_中华蟾蜍_Bufo gargarizans/照片/照片_03_ID158_中华蟾蜍_蔡炎林 (1).jpg,exists,3190407,
4,773534,中华蟾蜍,Bufo gargarizans,蟾蜍科,Bufonidae,蟾蜍属,Bufo,照片,4,159,,蔡炎林 ,四川峨眉山,20190630,,,http://www.nsii.org.cn/nsiiresources/media/photo/202016/photo/normal/中华蟾蜍_蔡炎林 (2).jpg,NSII_无尾两栖类鸣声专题/04_中华蟾蜍_Bufo gargarizans/照片/照片_04_ID159_中华蟾蜍_蔡炎林 (2).jpg,exists,3335811,
4,773534,中华蟾蜍,Bufo gargarizans,蟾蜍科,Bufonidae,蟾蜍属,Bufo,鸣声,1,227,广告鸣叫,赵龙辉,四川峨眉山,2019.5.16,21:36,,http://www.nsii.org.cn/nsiiresources/media/photo/202016/audio/中华蟾蜍_1_赵龙辉.mp3,NSII_无尾两栖类鸣声专题/04_中华蟾蜍_Bufo gargarizans/鸣声/鸣声_01_ID227_中华蟾蜍_1_赵龙辉.mp3,exists,92267,
4,773534,中华蟾蜍,Bufo gargarizans,蟾蜍科,Bufonidae,蟾蜍属,Bufo,鸣声,2,228,广告鸣叫,蔡炎林,四川康定塔公草原,2018.5.7,21:00,,http://www.nsii.org.cn/nsiiresources/media/photo/202016/audio/中华蟾蜍_2_蔡炎林.mp3,NSII_无尾两栖类鸣声专题/04_中华蟾蜍_Bufo gargarizans/鸣声/鸣声_02_ID228_中华蟾蜍_2_蔡炎林.mp3,exists,723233,
5,757369,黑眶蟾蜍,Duttaphrynus melanostictus,蟾蜍科,Bufonidae,头棱蟾属,Duttaphrynus,照片,1,65,,朱弼成 ,海南吊罗山,20170807,,,http://www.nsii.org.cn/nsiiresources/media/photo/202016/photo/normal/黑眶蟾蜍_朱弼成 (1).jpg,NSII_无尾两栖类鸣声专题/05_黑眶蟾蜍_Duttaphrynus melanostictus/照片/照片_01_ID65_黑眶蟾蜍_朱弼成 (1).jpg,exists,2729868,
